paper_name,Gramatika i pravopis,Strane reči,Skraćenice,Argumentacija,Konciznost rečenice,Jasnoća rečenica,Aktiv i pasiv,Početak rečenice,Sadržaj rečenice,Korišćenje vremena,Zarezi,Interpunkcija,Konciznost paragrafa,Organizacija paragrafa,Konzistentnost,Repetitivnost,Bespotrebni detalji,Odnos teksta i teme rada,Nekonciznost,Korišćenje ličnih zamenica,Širi problem,Osnovni koncepti,Značaj rešenja,Pozicioniranje užeg problema u širem kontekstu,Opis fokusa rada,Opis koristi rešenja,Opis problema domena,Zahtevi,Opis drugačijih rešenja,Argumentacija odabranog rešenja,Opis koncepata rešenja,Definisani koncepti,Višak koncepata,Opis rešenja koncepata,Opis rešenja na opštijem nivou,Inicijalno predstavljanje strukture sistema,Opis svake celine strukture rešenja,Preciznost,Visok nivo apstrakcije,Teorijske osnove,Problem,Konciznost,Dovoljno detalja,Vreme pisanja,Struktura opisa rezultata,Diskusija o rezultatima,Finalni paragraf
Rad_12,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,0,1,1,2,0,2,2,0,0,0,1,2,2,2,0,2,2,2,2,2,2,0,2,1,2,2,1,1
Rad_14,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Rad_15,0,0,0,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,1,2,2,2,2
Rad_16,2,0,0,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,1,2
Rad_17,0,2,2,2,2,2,1,0,2,1,1,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,2,1,1,2,2,2
Rad_18,0,0,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,0,0,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,1,0
Rad_19,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,0,1,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,1,0
Rad_20,2,1,1,2,1,2,2,1,2,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,1,2,2,2
Rad_21,0,0,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1
Rad_22,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,0,2,2,2,2,2,2,1,2,1,2,2,1,0,0,2,1,0,2,2,0
Rad_24,0,2,2,2,1,2,2,0,2,0,0,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,0,0,1,1,1,0,2,1,2,2,2,2,2,2,0,2,1,1,2,1,0
Rad_26,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,2,1,2,2,0,2,1,0,2,2,1
Rad_27,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
Rad_28,1,1,0,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2
Rad_30,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,1,1
Rad_34,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,0,2,2,1,2,2,0
Rad_33,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,0,2,2,0,2,2,1
Rad_29,0,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,1,1,2,2,2
Rad_31,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,0,1,1,2,2,2,0,1,1,2,2,1,0,0,2,1,1,2,2,2
Rad_32,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,1,1,0,2,2,2,1,2,2,2,2,2,2,2,0,2,2,1,2,1,1
Rad_35,0,0,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,1,1
Rad_36,1,0,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,1,0,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,1,2,0,2,2,0,0,1,2
Rad_37,0,1,2,2,1,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2
Rad_38,0,0,1,2,0,2,0,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,0,2,2,1,2,1,2
Rad_39,0,0,0,2,0,2,1,2,2,0,0,2,2,2,2,2,2,2,0,0,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,0,1,1,0,2,2,2
Rad_40,0,0,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,1
Rad_41,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,0,0,2,2,2,1,2,2,2,2
Rad_45,0,0,0,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2
Rad_47,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,2,1,0,2,0,2,2,2,2,2,2,0,2,2,1,2,1,2
Rad_48,0,2,0,2,0,2,2,2,2,2,0,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,0,2,2,2,2,2,2
Rad_54,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,1
Rad_43,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,0,2,2,2,2,1,0
Rad_42,1,1,1,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2,1,2,1,0
Rad_44,0,2,2,0,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,0,2,1,2,2,2,2,1,0,2,2,1,1,2,1,1,2,2,2,2,2,0,2,1,1,2,1,1
Rad_46,2,2,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,1,2,2,2,2,2,2,0,2,1,1,2,2,1
Rad_50,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,1,2,2,2,0
Rad_51,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,2,1,1,2,2,2
Rad_52,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,0,2,0,1,2,2,0
Rad_49,0,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,0,2,0,2,2,2,2
Rad_53,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,1,2,2,0
Rad_55,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,2,1
Rad_56,2,0,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,0,0,0,1,2,2,2,1,2,2,2,2,2,1,0,2,2,0,2,2,2
Rad_57,0,1,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,2,0,2,2,2,2,1,2
Rad_58,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,2,2,2,2,2,0,0,2,1,1,2,2,2
Rad_59,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,1,2,0,2,2,0,2,2,1
Rad_60,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,2,2,2,1,2,2,2,2,2,2,0,2,0,0,2,2,1
Rad_62,0,0,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,1,2,2,2,2,2,1,0,2,1,1,2,2,1
Rad_74,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,0,1,1,1,1,0,0
Rad_61,0,0,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,1,2,2,1,1
Rad_63,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,0,0,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,0,1
Rad_64,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,2,1
Rad_65,2,0,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,2,1,2,1,2
Rad_66,2,0,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,1,1,2,1,1
Rad_67,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,1,1
Rad_68,0,0,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,0
Rad_69,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,0,2,1,1,2,1,0
Rad_71,0,0,0,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,1,1,2,1,2
Rad_72,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,1,2
Rad_70,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,0,2,1,2,2,2,1
Rad_73,0,1,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,1,2
Rad_75,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,0,2,1,1,2,2,0
Rad_76,2,0,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,2,1,2,2,1
Rad_77,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2
Rad_11,0,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,1
Rad_13,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,1,1,0,0,0,0
Rad_23,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,2,2,2,2,2,1,0,0,0,1,2,1,2,2,1,2,2,0,0
Rad_25,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,0,2,2,2,2,2,1
Rad_78,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1,0,0,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2
